State,District,Market,Commodity,Variety,Grade,Weekday,Min Price,Max Price,Modal Price
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,Thursday,4100,4500,4350
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,Thursday,2200,3000,2450
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,Thursday,2350,3000,2700
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,Thursday,7000,7500,7250
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,Thursday,8400,9000,8850
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,Thursday,11000,14000,12500
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,Thursday,7200,8000,7550
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,Thursday,6800,7500,7350
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,Thursday,1850,2550,2200
Gujarat,Amreli,Damnagar,Tomato,Local,FAQ,Thursday,9800,10000,9950
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,Thursday,10000,20000,15000
Himachal Pradesh,Kangra,Palampur,Apple,Apple,Medium,Thursday,20000,21000,20500
Himachal Pradesh,Kangra,Palampur,Apple,Kullu Royal Delicious,Medium,Thursday,8000,13000,10500
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,Thursday,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Beetroot,Beetroot,FAQ,Thursday,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),Other,FAQ,Thursday,3800,4000,3900
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,Thursday,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bottle gourd,Bottle Gourd,FAQ,Thursday,2800,3800,3300
Himachal Pradesh,Kangra,Palampur,Brinjal,Brinjal,FAQ,Thursday,5000,5200,5100
Himachal Pradesh,Kangra,Palampur,Cabbage,Cabbage,FAQ,Thursday,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,FAQ,Thursday,11000,12000,11500
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,Thursday,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,FAQ,Thursday,4500,7000,4750
Himachal Pradesh,Kangra,Palampur,Colacasia,Colacasia,FAQ,Thursday,4000,4500,4250
Himachal Pradesh,Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,Thursday,14000,15000,14500
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),Other,FAQ,Thursday,3000,4000,3500
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,FAQ,Thursday,6000,7000,6500
Himachal Pradesh,Kangra,Palampur,Garlic,Average,FAQ,Thursday,10000,13000,11500
Himachal Pradesh,Kangra,Palampur,Ginger(Green),Other,FAQ,Thursday,19000,20000,19500
Himachal Pradesh,Kangra,Palampur,Green Chilli,Green Chilly,FAQ,Thursday,5500,6000,5750
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,Thursday,8000,11500,9750
Himachal Pradesh,Kangra,Palampur,Jack Fruit,Jack Fruit,Medium,Thursday,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Lemon,Other,FAQ,Thursday,4500,4800,4650
Himachal Pradesh,Kangra,Palampur,Mango,Dusheri,Medium,Thursday,3000,4500,3750
Himachal Pradesh,Kangra,Palampur,Mango,Totapuri,Medium,Thursday,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,FAQ,Thursday,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),Other,Medium,Thursday,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Onion,Other,FAQ,Thursday,2000,2200,2100
Himachal Pradesh,Kangra,Palampur,Papaya,Other,Medium,Thursday,4200,4500,4350
Himachal Pradesh,Kangra,Palampur,Pear(Marasebu),Other,Medium,Thursday,9000,10000,9500
Himachal Pradesh,Kangra,Palampur,Peas Wet,Other,FAQ,Thursday,7000,8000,7500
